root,contract,expiry_date,source,source_url
HG,HGJ2016,2016-04-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2017,2017-04-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2018,2018-04-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2019,2019-04-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2020,2020-04-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2021,2021-04-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2022,2022-04-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2023,2023-04-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGJ2024,2024-04-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2008,2008-05-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2009,2009-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2010,2010-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2011,2011-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2012,2012-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2013,2013-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2014,2014-05-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2015,2015-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2016,2016-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2017,2017-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2018,2018-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2019,2019-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2020,2020-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2021,2021-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2022,2022-05-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2023,2023-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGK2024,2024-05-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2008,2008-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2009,2009-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2010,2010-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2011,2011-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2012,2012-06-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2013,2013-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2014,2014-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2015,2015-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2016,2016-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2017,2017-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2018,2018-06-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2019,2019-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2020,2020-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2021,2021-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2022,2022-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2023,2023-06-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGM2024,2024-06-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2008,2008-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2009,2009-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2010,2010-07-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2011,2011-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2012,2012-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2013,2013-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2014,2014-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2015,2015-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2016,2016-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2017,2017-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2018,2018-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2019,2019-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2020,2020-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2021,2021-07-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2022,2022-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2023,2023-07-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGN2024,2024-07-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2008,2008-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2009,2009-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2010,2010-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2011,2011-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2012,2012-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2013,2013-08-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2014,2014-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2015,2015-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2016,2016-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2017,2017-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2018,2018-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2019,2019-08-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2020,2020-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2021,2021-08-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2022,2022-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2023,2023-08-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGQ2024,2024-08-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2008,2008-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2009,2009-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2010,2010-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2011,2011-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2012,2012-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2013,2013-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2014,2014-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2015,2015-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2016,2016-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2017,2017-09-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2018,2018-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2019,2019-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2020,2020-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2021,2021-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2022,2022-09-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2023,2023-09-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGU2024,2024-09-26,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2008,2008-10-29,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2009,2009-10-28,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
HG,HGV2010,2010-10-27,CME Copper Calendar,https://www.cmegroup.com/markets/metals/base/copper.calendar.html
